Timestamp,X,Y,n
2014-06-08T08:00:00Z,0,67,1577
2014-06-08T08:00:00Z,6,43,108
2014-06-08T08:00:00Z,16,49,103
2014-06-08T08:00:00Z,16,66,471
2014-06-08T08:00:00Z,17,43,451
2014-06-08T08:00:00Z,17,67,137
2014-06-08T08:00:00Z,23,54,115
2014-06-08T08:00:00Z,26,59,132
2014-06-08T08:00:00Z,27,15,371
2014-06-08T08:00:00Z,28,66,122
2014-06-08T08:00:00Z,32,33,532
2014-06-08T08:00:00Z,34,68,115
2014-06-08T08:00:00Z,38,90,363
2014-06-08T08:00:00Z,42,37,146
2014-06-08T08:00:00Z,43,56,140
2014-06-08T08:00:00Z,43,78,148
2014-06-08T08:00:00Z,45,24,461
2014-06-08T08:00:00Z,47,11,415
2014-06-08T08:00:00Z,48,87,97
2014-06-08T08:00:00Z,50,57,8
2014-06-08T08:00:00Z,60,37,141
2014-06-08T08:00:00Z,63,99,3301
2014-06-08T08:00:00Z,67,37,146
2014-06-08T08:00:00Z,69,44,436
2014-06-08T08:00:00Z,73,79,96
2014-06-08T08:00:00Z,73,84,90
2014-06-08T08:00:00Z,76,88,113
2014-06-08T08:00:00Z,78,37,99
2014-06-08T08:00:00Z,78,48,427
2014-06-08T08:00:00Z,79,87,70
2014-06-08T08:00:00Z,79,89,95
2014-06-08T08:00:00Z,81,77,97
2014-06-08T08:00:00Z,82,80,99
2014-06-08T08:00:00Z,83,88,91
2014-06-08T08:00:00Z,85,86,70
2014-06-08T08:00:00Z,86,44,441
2014-06-08T08:00:00Z,87,48,130
2014-06-08T08:00:00Z,87,63,198
2014-06-08T08:00:00Z,87,81,88
2014-06-08T08:00:00Z,92,81,67
2014-06-08T08:00:00Z,99,77,1803
2014-06-08T09:00:00Z,0,67,117
2014-06-08T09:00:00Z,6,43,200
2014-06-08T09:00:00Z,16,49,188
2014-06-08T09:00:00Z,16,66,614
2014-06-08T09:00:00Z,17,43,612
2014-06-08T09:00:00Z,17,67,170
2014-06-08T09:00:00Z,23,54,187
2014-06-08T09:00:00Z,26,59,177
2014-06-08T09:00:00Z,27,15,688
2014-06-08T09:00:00Z,28,66,194
2014-06-08T09:00:00Z,32,33,544
2014-06-08T09:00:00Z,34,68,245
2014-06-08T09:00:00Z,38,90,754
2014-06-08T09:00:00Z,42,37,273
2014-06-08T09:00:00Z,43,56,194
2014-06-08T09:00:00Z,43,78,177
2014-06-08T09:00:00Z,45,24,770
2014-06-08T09:00:00Z,47,11,677
2014-06-08T09:00:00Z,48,87,144
2014-06-08T09:00:00Z,50,57,16
2014-06-08T09:00:00Z,60,37,212
2014-06-08T09:00:00Z,63,99,518
2014-06-08T09:00:00Z,67,37,234
2014-06-08T09:00:00Z,69,44,716
2014-06-08T09:00:00Z,73,79,173
2014-06-08T09:00:00Z,73,84,128
2014-06-08T09:00:00Z,76,22,939
2014-06-08T09:00:00Z,76,88,166
2014-06-08T09:00:00Z,78,37,176
2014-06-08T09:00:00Z,78,48,567
2014-06-08T09:00:00Z,79,87,178
2014-06-08T09:00:00Z,79,89,143
2014-06-08T09:00:00Z,81,77,202
2014-06-08T09:00:00Z,82,80,137
2014-06-08T09:00:00Z,83,88,130
2014-06-08T09:00:00Z,85,86,179
2014-06-08T09:00:00Z,86,44,871
2014-06-08T09:00:00Z,87,48,221
2014-06-08T09:00:00Z,87,63,400
2014-06-08T09:00:00Z,87,81,199
2014-06-08T09:00:00Z,92,81,201
2014-06-08T09:00:00Z,99,77,125
2014-06-08T10:00:00Z,0,67,8
2014-06-08T10:00:00Z,6,43,167
2014-06-08T10:00:00Z,16,49,158
2014-06-08T10:00:00Z,16,66,473
2014-06-08T10:00:00Z,17,43,513
2014-06-08T10:00:00Z,17,67,186
2014-06-08T10:00:00Z,23,54,155
2014-06-08T10:00:00Z,26,59,243
2014-06-08T10:00:00Z,27,15,596
2014-06-08T10:00:00Z,28,66,227
2014-06-08T10:00:00Z,34,68,193
2014-06-08T10:00:00Z,38,90,590
2014-06-08T10:00:00Z,42,37,197
2014-06-08T10:00:00Z,43,56,178
2014-06-08T10:00:00Z,43,78,196
2014-06-08T10:00:00Z,45,24,597
2014-06-08T10:00:00Z,47,11,636
2014-06-08T10:00:00Z,48,87,168
2014-06-08T10:00:00Z,50,57,13
2014-06-08T10:00:00Z,60,37,219
2014-06-08T10:00:00Z,63,99,15
2014-06-08T10:00:00Z,67,37,202
2014-06-08T10:00:00Z,69,44,428
2014-06-08T10:00:00Z,73,79,146
