Timestamp,data
2014-06-08T08:00:00Z,"NA, NA, NA, NA, 108, NA, 1577, NA, NA, NA
NA, NA, NA, NA, 554, NA, 608, NA, NA, NA
NA, 371, NA, NA, NA, 247, 122, NA, NA, NA
NA, NA, NA, 532, NA, NA, 115, NA, NA, 363
NA, 415, 461, 146, NA, 140, NA, 148, 97, NA
NA, NA, NA, NA, NA, 8, NA, NA, NA, NA
NA, NA, NA, 287, 436, NA, NA, NA, NA, 3301
NA, NA, NA, 99, 427, NA, NA, 96, 368, NA
NA, NA, NA, NA, 571, NA, 198, 97, 348, NA
NA, NA, NA, NA, NA, NA, NA, 1803, 67, NA
"
2014-06-08T09:00:00Z,"NA, NA, NA, NA, 200, NA, 117, NA, NA, NA
NA, NA, NA, NA, 800, NA, 784, NA, NA, NA
NA, 688, NA, NA, NA, 364, 194, NA, NA, NA
NA, NA, NA, 544, NA, NA, 245, NA, NA, 754
NA, 677, 770, 273, NA, 194, NA, 177, 144, NA
NA, NA, NA, NA, NA, 16, NA, NA, NA, NA
NA, NA, NA, 446, 716, NA, NA, NA, NA, 518
NA, NA, 939, 176, 567, NA, NA, 173, 615, NA
NA, NA, NA, NA, 1092, NA, 400, 202, 645, NA
NA, NA, NA, NA, NA, NA, NA, 125, 201, NA
"
2014-06-08T10:00:00Z,"NA, NA, NA, NA, 167, NA, 8, NA, NA, NA
NA, NA, NA, NA, 671, NA, 659, NA, NA, NA
NA, 596, NA, NA, NA, 398, 227, NA, NA, NA
NA, NA, NA, NA, NA, NA, 193, NA, NA, 590
NA, 636, 597, 197, NA, 178, NA, 196, 168, NA
NA, NA, NA, NA, NA, 13, NA, NA, NA, NA
NA, NA, NA, 421, 428, NA, NA, NA, NA, 15
NA, NA, 43, 184, 364, NA, NA, 146, 462, NA
NA, NA, NA, NA, 931, NA, 271, 157, 520, NA
NA, NA, NA, NA, NA, NA, NA, 12, 130, NA
"
2014-06-08T11:00:00Z,"NA, NA, NA, NA, 245, NA, 10, NA, NA, NA
NA, NA, NA, NA, 662, NA, 611, NA, NA, NA
NA, 788, NA, NA, NA, 390, 259, NA, NA, NA
NA, NA, NA, 490, NA, NA, 240, NA, NA, 834
NA, 706, 766, 219, NA, 212, NA, 256, 264, NA
NA, NA, NA, NA, NA, 14, NA, NA, NA, NA
NA, NA, NA, 454, 439, NA, NA, NA, NA, 4
NA, NA, NA, 212, 373, NA, NA, 157, 692, NA
NA, NA, NA, NA, 985, NA, 351, 168, 680, NA
NA, NA, NA, NA, NA, NA, NA, 13, 164, NA
"
2014-06-08T12:00:00Z,"NA, NA, NA, NA, 223, NA, 16, NA, NA, NA
NA, NA, NA, NA, 631, NA, 569, NA, NA, NA
NA, 893, NA, NA, NA, 409, 189, NA, NA, NA
NA, NA, NA, NA, NA, NA, 192, NA, NA, 726
NA, 746, 808, 268, NA, 221, NA, 211, 211, NA
NA, NA, NA, NA, NA, 25, NA, NA, NA, NA
NA, NA, NA, 459, 433, NA, NA, NA, NA, 5
NA, NA, NA, 193, 343, NA, NA, 150, 715, NA
NA, NA, NA, NA, 966, NA, 397, 123, 645, NA
NA, NA, NA, NA, NA, NA, NA, 39, 170, NA
"
2014-06-08T13:00:00Z,"NA, NA, NA, NA, 221, NA, NA, NA, NA, NA
NA, NA, NA, NA, 633, NA, 627, NA, NA, NA
NA, 678, NA, NA, NA, 349, 258, NA, NA, NA
NA, NA, NA, NA, NA, NA, 212, NA, NA, 748
NA, 787, 777, 287, NA, 209, NA, 235, 217, NA
NA, NA, NA, NA, NA, 15, NA, NA, NA, NA
NA, NA, NA, 437, 469, NA, NA, NA, NA, 26
NA, NA, NA, 197, 360, NA, NA, 129, 604, NA
NA, NA, NA, NA, 952, NA, 374, 100, 543, NA
NA, NA, NA, NA, NA, NA, NA, 7, 142, NA
"
2014-06-08T14:00:00Z,"NA, NA, NA, NA, 174, NA, NA, NA, NA, NA
NA, NA, NA, NA, 607, NA, 594, NA, NA, NA
NA, 685, NA, NA, NA, 371, 144, NA, NA, NA
NA, NA, NA, NA, NA, NA, 159, NA, NA, 748
NA, 711, 613, 310, NA, 203, NA, 254, 188, NA
NA, NA, NA, NA, NA, 15, NA, NA, NA, NA
NA, NA, NA, 437, 394, NA, NA, NA, NA, 31
NA, NA, NA, 225, 363, NA, NA, 231, 480, NA
NA, NA, NA, NA, 901, NA, 329, 191, 587, NA
NA, NA, NA, NA, NA, NA, NA, 5, 204, NA
"
2014-06-08T15:00:00Z,"NA, NA, NA, NA, 198, NA, 68, NA, NA, NA
NA, NA, NA, NA, 590, NA, 619, NA, NA, NA
NA, 692, NA, NA, NA, 342, 188, NA, NA, NA
NA, NA, NA, NA, NA, NA, 165, NA, NA, 750
NA, 559, 546, 228, NA, 198, NA, 269, 217, NA
NA, NA, NA, NA, NA, 9, NA, NA, NA, NA
NA, NA, NA, 509, 434, NA, NA, NA, NA, 16
NA, NA, NA, 151, 362, NA, NA, 132, 426, NA
NA, NA, NA, NA, 836, NA, 336, 106, 593, NA
NA, NA, NA, NA, NA, NA, NA, 59, 131, NA
"
2014-06-08T16:00:00Z,"NA, NA, NA, NA, 164, NA, 16, NA, NA, NA
NA, NA, NA, NA, 599, NA, 566, NA, NA, NA
NA, 621, NA, NA, NA, 345, 181, NA, NA, NA
NA, NA, NA, NA, NA, NA, 171, NA, NA, 658
NA, 549, 592, 213, NA, 224, NA, 255, 193, NA
NA, NA, NA, NA, NA, 10, NA, NA, NA, NA
NA, NA, NA, 420, 426, NA, NA, NA, NA, 4
NA, NA, NA, 117, 330, NA, NA, 218, 408, NA
NA, NA, NA, NA, 715, NA, 337, 110, 528, NA
NA, NA, NA, NA, NA, NA, NA, 44, 111, NA
"
2014-06-08T17:00:00Z,"NA, NA, NA, NA, 167, NA, NA, NA, NA, NA
NA, NA, NA, NA, 550, NA, 623, NA, NA, NA
NA, 430, NA, NA, NA, 243, 221, NA, NA, NA
NA, NA, NA, NA, NA, NA, 166, NA, NA, 621
NA, 564, 568, 201, NA, 126, NA, 130, 136, NA
NA, NA, NA, NA, NA, 8, NA, NA, NA, NA
NA, NA, NA, 489, 415, NA, NA, NA, NA, 9
NA, NA, NA, 155, 374, NA, NA, 128, 434, NA
NA, NA, NA, NA, 706, NA, 333, 143, 499, NA
NA, NA, NA, NA, NA, NA, NA, 14, 107, NA
"
2014-06-08T18:00:00Z,"NA, NA, NA, NA, 152, NA, 16, NA, NA, NA
NA, NA, NA, NA, 558, NA, 512, NA, NA, NA
NA, 519, NA, NA, NA, 280, 116, NA, NA, NA
NA, NA, NA, NA, NA, NA, 182, NA, NA, 468
NA, 560, 397, 127, NA, 144, NA, 118, 122, NA
NA, NA, NA, NA, NA, 3, NA, NA, NA, NA
NA, NA, NA, 329, 403, NA, NA, NA, NA, 5
NA, NA, NA, 189, 368, NA, NA, 181, 376, NA
NA, NA, NA, NA, 559, NA, 219, 50, 326, NA
NA, NA, NA, NA, NA, NA, NA, 39, 80, NA
"
2014-06-08T19:00:00Z,"NA, NA, NA, NA, 132, NA, 10, NA, NA, NA
NA, NA, NA, NA, 484, NA, 457, NA, NA, NA
NA, 344, NA, NA, NA, 194, 115, NA, NA, NA
NA, NA, NA, NA, NA, NA, 132, NA, NA, 429
NA, 368, 402, 185, NA, 106, NA, 102, 95, NA
NA, NA, NA, NA, NA, 11, NA, NA, NA, NA
NA, NA, NA, 323, 314, NA, NA, NA, NA, 4
NA, NA, NA, 72, 304, NA, NA, 30, 208, NA
NA, NA, NA, NA, 517, NA, 136, 67, 282, NA
NA, NA, NA, NA, NA, NA, NA, 13, 43, NA
"
2014-06-08T20:00:00Z,"NA, NA, NA, NA, 34, NA, NA, NA, NA, NA
NA, NA, NA, NA, 283, NA, 350, NA, NA, NA
NA, 227, NA, NA, NA, 187, 84, NA, NA, NA
NA, NA, NA, NA, NA, NA, 63, NA, NA, 286
NA, 245, 352, 127, NA, 62, NA, 60, 58, NA
NA, NA, NA, NA, NA, 6, NA, NA, NA, NA
NA, NA, NA, 310, 252, NA, NA, NA, NA, NA
NA, NA, NA, 82, 265, NA, NA, 5, 107, NA
NA, NA, NA, NA, 291, NA, 75, 60, 111, NA
NA, NA, NA, NA, NA, NA, NA, NA, 48, NA
"
2014-06-08T21:00:00Z,"NA, NA, NA, NA, 35, NA, NA, NA, NA, NA
NA, NA, NA, NA, 190, NA, 212, NA, NA, NA
NA, 235, NA, NA, NA, 122, 39, NA, NA, NA
NA, NA, NA, NA, NA, NA, 32, NA, NA, 202
NA, 255, 180, 183, NA, 45, NA, 44, 46, NA
NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
NA, NA, NA, 270, 272, NA, NA, NA, NA, NA
NA, NA, NA, 43, 184, NA, NA, 73, 356, NA
NA, NA, NA, NA, 291, NA, 39, 6, 175, NA
NA, NA, NA, NA, NA, NA, NA, NA, 9, NA
"
2014-06-08T22:00:00Z,"NA, NA, NA, NA, 20, NA, NA, NA, NA, NA
NA, NA, NA, NA, 251, NA, 175, NA, NA, NA
NA, 43, NA, NA, NA, 84, 53, NA, NA, NA
NA, NA, NA, NA, NA, NA, 50, NA, NA, 89
NA, 48, 82, 38, NA, 15, NA, 90, 7, NA
NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
NA, NA, NA, 52, 53, NA, NA, NA, NA, NA
NA, NA, NA, 31, 67, NA, NA, 3, 41, NA
NA, NA, NA, NA, 152, NA, 54, NA, 65, NA
NA, NA, NA, NA, NA, NA, NA, NA, 8, NA
"
2014-06-08T23:00:00Z,"NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
NA, 3, NA, NA, NA, NA, NA, NA, NA, NA
NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
"
